one of the,0.312480274406
faith in the,0.846986819184
easy to watch,0.871400084752
does n't quite,-0.689132690616
disguised as a,-0.491846517252
coffee table book,0.385233044899
can only be,-0.944975978123
by the movie,-0.015868395827
but not a,-0.0443225865246
best and most,1.28605362579
believe in it,0.325933022713
because there 's,-0.435439481836
be a New,0.631042896682
as it thinks,-0.0975851855849
and as a,0.915323940539
and , in,0.0764726561397
an original idea,-0.361675115847
an attempt to,-0.561045897673
ahead of him,1.13893394863
about a young,-0.61347156563
a world that,0.296561520757
a little faster,-0.0377494883491
a great movie,0.0967294617558
a few minutes,-0.200503186245
a fascinating character,0.823428199352
Spader and Gyllenhaal,0.604384950242
Saturday morning TV,-0.11892988262
Robert De Niro,0.0942848856358
, like the,-0.479448843675
, in this,0.423385366979
, courage and,0.211886925806
, comic relief,0.155374589632
, and more,0.356357651669
, a movie,0.190041150598
's not as,0.202036504715
's a very,1.13726930762
year 's best,1.06613319029
worst of all,-1.16071395705
with the best,0.271585198573
with nothing but,0.191310857517
with a great,-0.310115016164
watching such a,-0.0973753765662
wanted to make,-0.219009237039
want to be,-0.277347124668
to grow into,0.0995378732418
to give the,-0.00779672166348
to come to,-0.46378276315
through it all,0.14863772685
they were in,-0.477253653745
they used to,0.0723286651795
the plot and,-0.203897952256
the pleasure of,0.29929529387
the novel 's,-0.373799385853
the most original,0.738270415787
the list of,-0.316990038347
the human condition,-0.495459860556
the experiences of,-0.122987936034
the excitement of,0.0665118143621
the cultural and,0.00141618293386
that you 've,-1.24332310654
supposed to have,-0.65784124622
story and the,-0.138384045568
spirit of the,-0.0612117505516
solid cast ,,0.638589687868
serves as a,0.577247533953
portrait of an,0.852595141658
pleasures of a,0.663251686108
ought to be,-0.0218721773274
other than its,-0.523919438413
or anything ,,-0.297693710334
on the next,-0.340804332899
of the theater,-0.527433543947
of the premise,-0.914410600155
of the kind,0.608355536082
of special effects,0.145479041143
of it ,,-0.610163065816
of an artist,-0.0759006449066
n't very bright,-0.604915772354
more silly than,-0.840174092823
might as well,-0.951830844732
make the film,0.679062616182
make for a,-0.374149126706
loyalty , courage,0.0667628293904
like a bad,-1.12264708641
light of the,-1.17456333025
left with a,-0.390550305328
last week 's,-0.651350266495
just ca n't,0.0430434937439
its subject matter,-0.266136945799
it 's really,-0.53002223572
it 's far,-0.534567851702
is to say,0.447791807205
is only mildly,-0.249474499942
is not only,0.835862686398
is , at,0.592080090945
into the film,-0.673565624367
in when we,-0.112914905391
in the present,0.0375631852833
his character 's,-0.308024357218
has n't been,-0.284264667013
has created a,1.20152874129
half an hour,-0.555484549108
gives the film,0.201170741803
front of you,-0.339685733937
from the first,-0.206259638321
from start to,-0.163234038837
for two hours,-0.8093172925
for some time,0.178166039754
for anyone who,0.315816469915
film that takes,1.15827600054
film does n't,-0.525508934897
far too much,-1.06179054607
everyone in the,0.212135081137
even though it,0.191085106837
even if the,0.0301152985015
drive a little,-0.00140794694932
dawns , comic,0.384840209012
close to the,0.303265502587
bizarre , implausible,-0.522484028691
at your watch,-0.691662689196
at the screen,-0.931688708865
at all the,0.248390563238
as the movie,-0.269523443423
as a bonus,0.272220517158
anything , really,-0.797693710334
after a while,0.313898885892
a straight face,0.210488384729
a solid cast,0.888589687868
a great one,0.623674609701
a film in,0.0320363710035
a fan of,0.101338115417
a big ,,0.721612255484
a bad sign,-1.04414888828
a Hollywood product,-0.168204636552
The Little Mermaid,0.246867482127
Saturday Night Live,0.019986535436
Read My Lips,0.486231074883
Praise of Love,-0.348392461501
Behind the Music,-0.110576881485
, you might,-0.508462645442
, yes ,,-0.168607036194
, vapid and,-0.38162176076
, uh ,,0.345202472518
, self-satisfied 22-year-old,-0.240866764986
, gratuitous violence,-1.04310699115
, for instance,-0.218448297763
, and for,0.857266723325
've seen it,0.0384963316445
's worth of,-0.521081849492
's best films,0.79809953551
'' is the,0.0480624502511
you wanting more,1.16663081137
you 've been,-0.689870496684
with such a,0.782176900085
will turn out,0.425330051425
what to whom,-0.0842651686176
well as one,0.883007458832
we have n't,0.149011822842
us care about,0.716683453872
twice as long,-1.28563703272
tour de force,1.01396571195
too much on,-0.294589825832
to the core,1.44767644273
to show us,-0.6300048176
to one of,-0.726767201347
to keep the,0.154140266728
to drive a,0.0335256475011
to be had,0.608635658573
to be ,,-0.0369811701338
through the eyes,0.325338721639
through Snow Dogs,-0.188872199738
this or any,0.337394456342
they grow up,-0.377603208962
the word `,-0.0660940462108
the theater in,-0.509753656719
the skin of,0.256169351618
the movie or,-0.0585053635831
the life out,-0.578001570668
the lack of,-0.220171760051
the gross-out comedy,-0.904525325544
the first half,-0.137663479588
the film that,-0.202819058521
the film never,0.168661031731
the Sundance Film,0.276283916189
that you should,0.122937372514
that will be,-0.78308204835
seen it all,-0.389367769117
see this movie,0.0766501545873
road movie ,,0.186415207015
reel in when,-0.293392222061
real dawns ,,-0.000853962595589
performance as a,0.595662763157
out of its,-0.468630082659
ones that do,-0.632987220675
one way or,-0.0553730467803
one , Ms.,-0.0395611008347
of thousands of,0.276441956273
of the very,-0.137732937674
of the summer,0.523569170181
of the rest,0.394560458566
of screen time,-0.443446857166
of loyalty ,,-0.0115984376353
of characters and,-0.211228073281
of character and,-0.256383617347
of Matthew Shepard,-0.171377136793
of Being Earnest,0.00101806303019
now and then,0.183166682672
not a bad,0.59075798461
not a Hollywood,-0.262318243355
n't try to,0.83403532245
movie that ,,0.374557000849
meaningless , vapid,0.0829911129745
makes it worth,0.907812669191
made me want,-1.07546262707
made for the,-0.0276850621798
made a movie,-0.343610271954
knows everything and,0.0839219001842
its grand locations,0.417767261038
it has a,0.859629213678
it from being,0.519151929304
it all before,-0.389367769117
is visually smart,0.602571211336
is impossible to,-0.638320342617
is far from,0.224889329508
intellectual and emotional,0.490488324745
in the story,-0.0763194734103
in the dark,0.360676624614
in the cast,-0.281014926479
in our lives,0.695452301477
in order to,0.759791050852
in almost every,-0.948451321609
in New York,0.0106640553459
in 1958 Brooklyn,0.372916140954
if the movie,-0.0361720795416
have to be,-0.10697242354
has made a,0.601710895091
hard to be,-1.08435496687
going to make,0.236638543498
for a while,0.713343611175
for a good,-0.378154276712
filmmakers who have,0.237762983077
far more interesting,0.382302128339
far from being,-0.300205370343
eyes away from,0.837441683899
equally beautiful ,,0.42556942756
either of those,0.294724928777
deep into the,-0.00633200639173
come from a,-0.280221353041
characters in the,0.671053049281
but has a,-0.0739939704899
become one of,0.44678563121
back and forth,-0.00761420397278
at the door,-0.241973319508
at the Sundance,0.276283916189
at other times,0.168386995474
at least -RRB-,0.096190832502
at best ,,-0.530124666637
as you can,1.06352982915
as well be,-0.408939597597
as a war,-0.683308198256
answers all questions,0.0839219001842
and downright creepy,-0.854677868905
and a smile,-0.0787714505261
and a few,0.253564437103
also happens to,0.338933238336
along with the,0.737906589899
action sequences and,0.376847973154
about the subject,-0.0900912892787
a sweet and,0.983914111721
a sour taste,-0.74229179057
a screenplay that,0.135774311748
a hard time,-1.11947235733
a fourth book,-0.00649907911831
a case of,-0.707120556591
a Red Bridge,0.1095202284
The Santa Clause,-1.13737854054
The Hot Chick,0.256552884315
Quentin Tarantino 's,-0.529337236843
Master of Disguise,-0.67574436217
Lock , Stock,0.0236397103262
It 's the,0.308904339983
City by the,-0.0294607285395
Analyze That ,,0.0975696548073
-LRB- or threatened,-0.0533511357683
-LRB- 1999 -RRB-,-0.0722675485424
, who has,0.532710046971
, which opens,-0.415144389463
, to some,0.0714949284316
, romance ,,-0.156551702372
, only to,-0.400026176869
, not to,-0.346750206428
, nonexistent --,-0.0986981761494
, implausible behavior,0.0291229723672
, but with,0.69196186268
, but one,0.536749349537
, but for,0.117820040813
, Ms. Mirren,-0.0395611008347
, ' but,0.0928406423603
've seen the,-0.229541543059
's new movie,0.111435536093
's good enough,-0.0469222374195
's end ,,0.201587309086
'm not sure,-0.985829966978
young TV actors,0.0374451413637
you to drive,0.101984889453
yet , nonexistent,-0.12330532255
worth the price,0.522284174738
worse yet ,,-0.12330532255
world more complex,-0.0349358038744
will probably be,-0.168817338325
who does n't,-0.8040774325
what to do,0.107377406362
way through Snow,-0.303653369727
way into your,0.478733212724
was going to,-0.0708566337864
wars in 1958,-0.180076688343
visually smart ,,0.279233452421
turf wars in,-0.180076688343
to win over,-0.0529317998068
to whom and,-0.0944393074863
to the essence,0.341972160863
to the edge,0.139271073271
to see what,0.690818493974
to say that,-0.000265521751909
to keep you,0.20281647289
to find the,-0.0754207499067
to choose between,-0.377704858897
this world more,-0.0349358038744
this sort of,0.170492542472
things happen to,-0.329573224283
there is n't,-0.661697673801
there 's not,-1.21993465932
themes of loyalty,-0.101558142296
the year ,,-0.393626476055
the worst movie,-1.7075903641
the women 's,-0.476442654301
the target audience,0.0976556615183
the size of,-0.0752213781978
the roots of,0.266144543702
the path of,-0.53797269248
the main characters,-0.119445215153
the humanity of,0.494347710675
the first two,-0.337620415416
the difference between,0.0425207386531
the consequences of,0.243005079184
the audience .,0.316240888141
the Queen 's,-0.187475604295
that would have,0.401054684315
that there is,-0.212672007765
that relies on,0.483935461979
that not only,-1.2616375342
that just does,0.407328812314
street gangs and,-0.0836569620368
sour taste in,-0.410492551392
so much more,0.376226816449
size of a,-0.0752213781978
self-satisfied 18-year-old mistress,-0.181591615022
seat in front,-0.378284560549
running time .,-0.4732431219
romantic comedy .,0.308595764069
provide a fourth,0.0610928715122
pretends to be,-0.489711348867
plot twists ,,-0.918296940181
out of control,-1.25679492398
other than the,-0.576846064303
or threatened -RRB-,-0.0326112417878
opens today in,-0.35733414941
one of my,-1.02817060978
on the subcontinent,-0.0446542295866
on the edge,0.0669122183444
often reel in,0.232738239208
of the whole,-0.723106879499
of the last,0.474284515754
of the gross-out,0.265040378661
of the funniest,0.910223313275
of its parts,0.0955213870887
of its ilk,0.760255038041
of its grand,-0.0903744481752
of faith in,-0.553735481053
of cinema as,-0.82506420268
of a sense,-0.479184847661
my greatest pictures,0.727244905122
much of its,0.25731146947
movies in the,0.100635796066
movie that 's,-0.073484325604
movie or the,-0.0429196974174
more than it,-0.0252983189972
minutes of your,-0.464130144446
might have made,0.12962348309
making a film,-0.599209878353
makes the silly,-0.940020319448
make the movie,0.419547520672
made a film,-0.0410120702739
likely to find,0.66921332287
like you 've,0.456435920301
life , but,0.0664615633391
leave you wanting,-1.33108410275
its way into,0.478733212724
its themes of,-0.101558142296
it for the,-0.147342188174
it 's too,-0.800721086562
it 's never,0.584948743924
is that the,-0.164039374414
is enough to,-0.569827793365
is a real,0.664652316634
into bizarre ,,-0.390147054208
intended to be,0.11431705639
in ways that,0.685670588988
in trying to,-1.01591146245
if it was,-1.1635761778
his sense of,-0.803098796234
his beautiful ,,0.00380246991276
have n't been,-0.0305685030862
going to happen,-0.25813477595
go see this,1.07114028759
for an hour,-0.386714742214
first half of,-0.201235929427
film of the,0.331096385181
film is well,1.24535993084
fact that it,0.216119544868
everything and answers,0.241934830117
ever any good,-0.044014363804
even more damage,-0.370725392645
even if you,-0.128673101082
down to the,0.320885395422
does n't feel,-0.784651624844
do n't need,0.104076501543
can not be,0.240671480905
ca n't be,0.076571819336
best of them,0.592464001995
been lost in,0.167718634547
be taken seriously,-0.140228130223
attention to detail,1.04467706276
at the edge,-0.0912136601241
as if they,0.260143356368
are ever any,-0.044014363804
and predictable ,,-0.568186908582
and answers all,0.241934830117
along the way,-0.239875003409
all the same,0.203567080178
all of its,-0.182132466357
all , a,0.476581633532
after a few,-0.268928148812
affection for the,0.0651481125854
a visual style,-0.349034374509
a touch of,0.135105901645
a study in,-0.201872083597
a lot nastier,-0.00127076915961
a good way,0.124974311385
a good ,,-0.128004531866
a girl in,-0.391976575561
a core of,0.469331569088
Under a Red,0.293131486549
The Scorpion King,0.30982401093
The Lady and,0.0705531944894
The Emperor 's,0.183327031372
Steven Soderbergh 's,-0.306826278399
Ms. Mirren ,,-0.0445922727551
Men in Black,-0.369977132698
In Praise of,-0.243201394114
I saw this,-0.0183615998712
I 've ever,0.958364217229
Die Another Day,0.554266655377
Death to Smoochy,-0.397311164229
Benigni 's Pinocchio,0.149183004177
Ballistic : Ecks,-0.570883119841
About One Thing,0.554023984113
; it 's,-0.118659959946
9 1\/2 Weeks,-0.048604035871
-- which is,-0.366528641938
, which ,,0.682618527213
, self-satisfied 18-year-old,-0.181591615022
, real dawns,-0.387402096799
, out of,-0.184344693376
, is a,0.475280347671
, in fact,-0.434799078492
, energetic and,1.43617442038
, but to,0.0595470390158
, but this,-0.0827233576433
, but rather,0.331700356562
, but at,-0.0960497087741
, and that,-0.408969553228
, and no,-0.985710574331
, and an,0.167376875685
, Stock and,0.121370450401
's one of,-0.00210048414744
's glory days,-0.483295052952
's better than,0.808974246963
's about as,-0.752650039088
're a Jet,-0.193403222822
' and the,0.227463627589
' -LRB- 1999,-0.070444067336
your head on,-0.584984318748
you might think,-0.354478561632
you 've never,0.153842169347
with young TV,0.148981312476
with one another,-0.178406313769
will keep them,1.06564038069
whom and why,-0.199052753841
who do n't,-0.383302847743
what they do,0.371828077393
we often reel,-0.00839306031544
want it to,-0.517108574172
victimized audience members,-0.247777616522
very funny ,,1.2169457075
up to a,0.654366126572
trying to do,0.0997723196628
tribute to the,-0.161825264685
topless tutorial service,-0.11983510732
to share his,0.0345414846683
to match the,-0.367037961075
to little more,-0.413118893122
to give it,-0.402341410822
to convince us,-0.176664172583
to a new,0.167224424228
this is one,0.441182624661
things will turn,-0.575827786227
them on the,-0.422193473879
them into bizarre,-0.19956413499
them are ever,-0.0579520616631
the ways in,0.440956241516
the star of,-0.147868262871
the source material,-0.467143309354
the sensibilities of,0.60622305331
the pitch of,0.233714558705
the mind to,0.931267522689
the girls ',0.391896754795
the giant camera,-0.13085690526
the fun of,0.0260797857266
the flip-flop of,0.0337856413451
the film works,0.447377918738
the criminal world,-0.378558614429
the company 's,0.580008701589
the best films,0.181689053718
the 21st Century,0.290716800746
that you can,-0.152268327283
that would be,-0.0964776049556
that tries to,-0.277694887885
that never quite,-0.386241556071
that it feels,-0.387413124185
that is ,,-0.438045540353
that did n't,0.508716976864
than most of,-0.756665338354
strong sense of,0.448931879822
stand and\/or restroom,-1.55988662635
special effects and,-0.0461994422129
some of this,-0.41092205405
smart , cleverly,0.235129145928
sit still for,-0.0298851713258
shot on digital,-0.494453840627
sentimental war movies,0.56543041459
screenplay or something,0.00348848971756
saw this movie,-0.680821901047
reacting to it,-0.0382438152731
promised -LRB- or,-0.0444825895951
price of admission,-0.153339216625
police procedural details,-0.255906892666
pitch of his,0.233714558705
out of it,-0.229184422324
one at that,-1.78972736476
on `` The,-0.125031593631
of this or,0.0634043553196
of these people,-0.0671426314173
of the Lambs,0.185734652709
of our time,-0.253744617882
of a sports,0.165651329472
nothing about the,-0.14574804207
not only to,0.671930541394
not enough to,-0.355572311383
nice to see,0.863820328396
next inevitable incarnation,-0.109196961421
music , and,0.991857977597
movie this year,0.816896162155
movie instead of,-0.0433425712239
movie , which,-0.193566316588
mind of the,0.133008054833
just like the,0.0712794917303
just is n't,-0.864443665905
just a little,-0.103716480414
its two main,0.350805864472
its execution and,0.409814411597
it to the,0.108169929263
it pretends to,-0.936741292846
it is not,-0.896960441453
it from the,-0.207086892033
it did n't,-0.631710021282
it ca n't,0.0676495000885
it 's only,-0.065272670378
is way too,-0.963588999849
is n't even,-0.562012662427
is a great,1.25171658026
into a movie,-0.00406006472675
inspires you to,0.272429020857
in this case,-0.281410604044
in the translation,-0.246906123225
in its themes,-0.39463413155
in fact ,,1.22502390932
in every regard,-0.93728258195
in action films,-0.152907979132
in a good,-0.675960347482
in a dark,-0.63086643652
if you will,-0.10856903023
idea of a,-0.526510024774
his picture-perfect life,0.141379621474
her material is,0.384775404024
head on the,-0.584984318748
he can be,0.469791979616
have made the,0.198980021089
have given up,0.377741472828
have been in,-0.242097791669
greatest pictures ,,0.528580839993
glimpse into the,1.19552658235
gangs and turf,-0.0932228943247
fulfill her dreams,-0.0906556737877
fresh to say,-0.290273655826
forces them into,-0.19956413499
for this one,-0.679357061864
for this kind,0.212759991738
for the better,-0.434359619306
for all its,0.0345587993517
focus on the,-0.232472711914
flip-flop of courtship,0.0337856413451
first 10 minutes,0.10127655064
film 's characters,-0.57261479903
feel more like,-0.110816104656
feel good about,-0.307244534898
fairly revealing study,0.426196478496
expect from the,-0.21974114126
equivalent of a,-0.269475584649
enough to be,1.07139077355
does n't give,-0.529178369525
documentary about the,0.117844852892
do even more,-0.667359755541
directed by Joel,-0.147025432079
did n't mind,-0.298825385947
dawns , real,-0.161352327801
come to Earth,0.481598495209
characters , and,-0.0741429346315
characters ' lives,0.703203072162
character development and,-0.724502752065
can not help,0.63167429859
ca n't remember,-0.27739302226
by the numbers,-0.305698546575
by Antwone Fisher,-0.470576657832
brings to the,1.02243921148
big screen .,0.131685200505
been so much,-0.173455337353
been a lot,0.0715494914296
be in the,0.16556465033
at its best,0.704762353134
at every turn,-0.154552905769
at and not,-0.0783872899854
as you might,0.120346376056
as funny as,-0.219214892416
as a very,0.454707255027
are privy to,-0.069947076799
are a little,0.184549521847
anyone who 's,0.316343178907
and wit to,0.412547064917
and turf wars,-0.0932228943247
and the Duke,0.215197418728
and the Beast,0.192783792481
and funny ,,0.670266454981
an equally beautiful,-0.151935887648
an artist who,0.117612652418
an artist ,,0.607889357096
all questions ,,-0.0322606795311
action sequences ,,0.567317727071
a teenage boy,0.1186568632
a slice of,-0.0875940603554
a screen adaptation,-0.0711662409078
a sad ,,-1.1909288101
a number of,-0.349159234713
a happy ending,0.144188807357
a half dozen,-0.288246928068
a disloyal satyr,-0.28819786213
a comedy ,,0.677452828019
a collection of,-0.435415067794
` Analyze That,0.159821987932
York metropolitan area,-0.373016035832
This is the,-0.0769483949932
This ' -LRB-,-0.139064653466
The Master of,0.120948972987
The Love Boat,-0.109196961421
The Longest Yard,-0.154161858454
That I Want,0.271732481399
Sweet Home Alabama,-0.119660314317
Stuart Little 2,0.694510102569
Something About Mary,-0.336281010206
Queen 's Men,-0.300860178842
National Lampoon film,-0.0993264420693
Mirren , who,-0.0942157174307
Lilo & Stitch,0.388254240237
Lady and the,0.215197418728
Gangster No. 1,0.752037917886
Emperor 's Club,0.440745092493
Dawson 's Creek,-0.567600812848
Big Bad Love,0.0672107838087
Beauty and the,0.192783792481
Anne Rice novel,0.00274510872926
Analyze This ',-0.139064653466
22-year-old girlfriend and,-0.42347119267
-LRB- but -RRB-,0.294501104185
-- but it,-0.811621352848
, worse yet,-0.39452311405
, with enough,0.201455126047
, who did,-0.0942157174307
, which are,-0.120673790239
, to the,0.458322888623
, the humor,0.201324383693
, tap ,,-0.152784136156
, not least,1.00863111586
, including the,-0.520452155108
, if not,0.47508299495
, history and,0.508123523236
, dry ,,0.17778231007
, cleverly written,0.235129145928
, but she,0.146179814262
, but because,-0.451277200611
, and not,0.593830090228
, and intelligence,1.15403369301
, amusing and,1.20400859599
's just too,-1.0221128493
's far too,-0.609848085262
you wish you,-0.831591444213
you think you,0.0563375243057
you might want,0.968578414943
you at the,-0.0351457532447
year 's most,1.62183288185
wo n't win,-0.304581942702
with which he,1.0580685092
with so much,0.0554568654629
with plenty of,0.719671063029
with his picture-perfect,0.356850272696
with considerable aplomb,0.984013419052
who 's who,-0.360932392308
when none of,-0.122831313188
when it is,-0.798316306556
very much like,0.496846267299
various victimized audience,-0.421464203295
up on the,0.114797975367
universal in its,-0.0823442523527
turns out ,,-0.233089592697
tortured , dull,-0.795918173333
to work as,-0.771208288008
to watch the,0.240735593801
to watch as,-0.517612555331
to the younger,-0.098844637219
to the size,-0.227924831492
to the screen,0.623981362295
to the press,-0.118181933094
to laugh at,-0.471694026962
to it -,-0.00239660079742
to fulfill her,-0.107220317827
to fit in,0.548484733573
to fans of,0.188642070096
to create a,1.08864034551
to be released,1.12045404271
to appeal to,0.186556309337
to a pulp,-0.00982158136523
time to do,-0.418254393453
threatened -RRB- for,-0.100836526997
think of this,-0.0375846704834
think of a,-0.866218785325
things in this,-0.44308866257
the writing is,-0.263854053686
the worst kind,-1.21995327569
the whole family,1.58306173365
the way to,0.28267955325
the theater with,-0.161946037559
the seamy underbelly,0.127694493675
the screenplay or,0.0810680091839
the protagonists struggled,0.111861177484
the pilot episode,-0.352994243812
the overall impact,-0.700102735264
the outcome of,-0.408595995753
the original version,0.271625187303
the old are,-0.0658031238491
the next inevitable,-0.144302893093
the movie .,-0.307568733179
the intellectual and,-0.815773611774
the guts to,0.129899055694
the first 10,0.276644131029
the feat with,1.42149556454
the ensemble cast,-1.05556105407
the back of,-0.237756449262
the audience in,0.7439064524
the addition of,-0.535968899851
the ` laughing,0.0579315543987
the Time of,0.106658229884
that the plot,-0.0500518368392
that forces them,0.591890514248
that ends with,0.254077429824
talents of its,-1.11223479663
subject matter ,,0.599100328175
sort of way,-0.622940986547
something new to,0.780082694246
sitting through it,-0.85272838542
sit through it,-0.167117745623
set out to,-0.0903392792893
sense of urgency,-0.278635381582
sense of his,0.422464892686
seen before ,,0.288213501029
screen adaptation of,-0.0682414520667
running time ,,-0.772800543836
romantic comedy to,0.36271530521
right to be,0.70421096992
read the subtitles,0.254060001936
read the book,0.18206538558
rather than the,-0.372069534003
questions , is,-0.33871686871
procedural details ,,-0.437722755583
precisely because it,0.23977027932
portray Richard Dawson,-0.23575491944
pictures , Drunken,-0.141502385143
pack 'em in,-0.00742313630463
out on a,-0.680720411166
out of an,0.57503540913
out like a,-0.0590116261694
orbits will inevitably,-0.151987638402
or , worse,-0.0602640196012
only to be,0.318695507234
on with young,0.409498796065
on the viewer,-0.545843173793
on either side,-0.0621944533693
old are privy,-0.0658031238491
oily arms dealer,-0.543594383194
of women to,0.0918235006165
of view ,,-0.207441405148
of the word,-0.241201834921
of the time,0.601182806784
of the movies,-0.757427747937
of the heart,0.748713561086
of the criminal,0.31697380089
of the big,0.744446866455
of the Atlantic,0.267234312804
of sentimental war,0.204951858928
of its two,0.259192453152
of it all,0.0583071567383
of his story,-0.0471268937502
of fresh air,0.615428276949
of deja vu,-0.398891411061
of an after-school,-0.208035304052
of The Love,-0.144302893093
of The Longest,-0.234232687159
of French cinema,1.07632505442
odds with one,-0.282721597788
no amount of,-0.790878662817
nearly as graphic,0.598595537418
nature of the,-0.363222413909
n't going to,-0.203078863504
movie to be,1.02637794361
more and more,-0.651800424685
many talented people,-0.737957919912
man and the,0.0104366994862
low , very,-0.558006223145
lot better if,0.442040800868
look at and,-0.616411776443
like so much,-0.0336081066924
like a film,-0.484421822645
life in the,0.340915289161
later this year,-0.166059010573
last time I,0.429752787375
last summer 's,-0.439781723714
laptops , cell,-0.0658678201424
lack of empathy,-0.712766648674
its sweet time,-0.126008111104
its director 's,-0.552137796116
its ability to,0.184641036485
it one of,0.188703417504
it is ,,-0.11972800101
it has some,0.04159219972
it fails to,-1.29134594343
it 's one,0.378263835032
is trying to,-0.109552789324
is to be,0.513681325321
is the one,0.315368697428
is n't going,-0.203078863504
is anything but,0.339551571105
into the mainstream,0.834199019287
interesting than the,-0.712104285587
instead of a,-0.183523552984
inclination to provide,-0.0449837267172
in the head,-1.10830339326
in the flip-flop,0.175447953784
